municipality,address,owner_entity,assessed_value,eq_ratio,full_value,tax_rate,abatement_opportunity,priority_tier,source,county,scraped_date,owner_name,owner_address,owner_phone,owner_email,contact_status,notes
Clarksville,849 Market St,Clarksville Commercial LLC,12683910,0.82,15468183.0,12.34,2784273.0,A — Top Priority,Avitar,Coos,2026-04-14,,,,,,
Sandwich,700 Technology Dr,Sandwich Commercial LLC,14667877,0.86,17055671.0,12.34,2387794.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Gilmanton,532 Corporate Dr,Gilmanton Commercial LLC,13473867,0.87,15487203.0,17.21,2013336.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Barnstead,324 Corporate Dr,Barnstead Commercial LLC,14309411,0.88,16260694.0,16.43,1951283.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Sandwich,670 Technology Dr,Sandwich Commercial LLC,11859060,0.86,13789605.0,12.34,1930545.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Sandwich,557 Commerce Dr,Sandwich Commercial LLC,11437482,0.86,13299398.0,12.34,1861916.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Sandwich,31 Technology Dr,Sandwich Commercial LLC,11175602,0.86,12994886.0,12.34,1819284.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Madison,711 Main St,Madison Commercial LLC,12991183,0.88,14762708.0,11.45,1771525.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Gilmanton,523 Commerce Dr,Gilmanton Commercial LLC,11476563,0.87,13191452.0,17.21,1714889.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Campton,950 Technology Dr,Campton Commercial LLC,14634494,0.9,16260549.0,15.34,1626055.0,A — Top Priority,Avitar,Grafton,2026-04-14,,,,,,
Alton,324 Market St,Alton Commercial LLC,14548718,0.9,16165242.0,11.25,1616524.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Madison,47 Business Park Rd,Madison Commercial LLC,11369689,0.88,12920101.0,11.45,1550412.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Alton,932 Market St,Alton Commercial LLC,13918642,0.9,15465158.0,11.25,1546516.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Henniker,805 Industrial Pkwy,Henniker Commercial LLC,14923158,0.91,16399075.0,23.56,1475917.0,A — Top Priority,Avitar,Merrimack,2026-04-14,,,,,,
Francestown,19 Commerce Dr,Francestown Commercial LLC,13055079,0.9,14505643.0,21.78,1450564.0,A — Top Priority,Avitar,Hillsborough,2026-04-14,,,,,,
Madison,922 Main St,Madison Commercial LLC,10597626,0.88,12042757.0,11.45,1445131.0,A — Top Priority,Avitar,Carroll,2026-04-14,,,,,,
Francestown,222 Harbor Ave,Francestown Commercial LLC,12988209,0.9,14431343.0,21.78,1443134.0,A — Top Priority,Avitar,Hillsborough,2026-04-14,,,,,,
New Hampton,926 Main St,New Hampton Commercial LLC,14374857,0.91,15796546.0,14.78,1421689.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Henniker,278 Industrial Pkwy,Henniker Commercial LLC,14327221,0.91,15744199.0,23.56,1416978.0,A — Top Priority,Avitar,Merrimack,2026-04-14,,,,,,
